position,vendida,c1,c2,hotel,hipoteca,dono
1,0,0,0,0,0,none
2,0,0,0,0,0,none
3,0,0,0,0,0,none
4,0,0,0,0,0,none
5,0,0,0,0,0,none
6,0,0,0,0,0,none
7,0,0,0,0,0,none
8,0,0,0,0,0,none
9,0,0,0,0,0,none
10,0,0,0,0,0,none
11,0,0,0,0,0,none
12,0,0,0,0,0,none
13,0,0,0,0,0,none
14,0,0,0,0,0,none
15,0,0,0,0,0,none
16,0,0,0,0,0,none
17,0,0,0,0,0,none
18,0,0,0,0,0,none
19,0,0,0,0,0,none
20,0,0,0,0,0,none
21,0,0,0,0,0,none
22,0,0,0,0,0,none
23,0,0,0,0,0,none
24,0,0,0,0,0,none
25,0,0,0,0,0,none
26,0,0,0,0,0,none
27,0,0,0,0,0,none
28,0,0,0,0,0,none
29,0,0,0,0,0,none
30,0,0,0,0,0,none
31,0,0,0,0,0,none
32,0,0,0,0,0,none
33,0,0,0,0,0,none
34,0,0,0,0,0,none
35,0,0,0,0,0,none
