position,nome,custo,custo_casa,custo_hotel,aluguel,aluguel_1casa,aluguel_2casas,aluguel_hotel,hipoteca
1,"Lisboa",100,30,60,20,60,100,160,80
2,"Pequim",80,25,50,15,50,80,130,65
3,"Investiu Mal",30,,,,,,,
4,"Viena",50,15,30,10,30,50,80,40
5,"Washington",60,20,35,10,35,60,95,50
6,"Varsóvia",35,10,20,5,20,35,55,30
7,"Berlim",80,25,50,15,50,80,130,65
8,"Nova Delhi",65,20,40,15,40,65,105,50
9,"Paris",80,25,50,15,50,80,130,65
10,"CIA de Ônibus",100,,,,,,,200
11,"Moscou",200,60,120,40,120,200,320,160
12,"Roma",100,30,60,20,60,100,160,80
13,"Madri",30,10,20,5,20,30,50,25
14,"Caracas",90,30,55,20,55,90,140,70
15,"Hanói",40,10,25,10,25,40,65,30
16,"CIA de Navegação",100,,,,,,,200
17,"Investiu Mal",30,,,,,,,
18,"Havana",150,45,90,30,90,150,240,120
19,"Buenos Aires",40,10,25,10,25,40,65,30
20,"Atenas",200,60,120,40,120,200,320,160
21,"Amsterdã",80,25,50,15,50,80,130,65
22,"Estocolmo",120,35,70,25,70,120,240,100
23,"Londres",70,20,40,15,40,70,110,55
24,"Kuala Lumpur",80,25,50,15,50,80,130,65
25,"Investiu Mal",30,,,,,,,
26,"CIA de Aviação",100,,,,,,,200
27,"Oslo",65,20,40,15,40,65,105,50
28,"Brasília",150,45,90,30,90,150,240,120
29,"Trípoli",50,15,30,10,30,50,80,40
30,"Bangcoc",70,20,40,15,40,70,110,55
31,"Dublin",80,25,50,15,50,80,130,65
32,"Santiago",65,20,40,15,40,65,105,50
33,"CIA Ferroviária",100,,,,,,,200
34,"Cairo",120,35,70,25,70,120,240,100
35,"Ottawa",200,60,120,40,120,200,320,160
